Year,Brand,YouTube URL,Funny,Shows Product Quickly,Patriotic,Celebrity,Danger,Animals,Use Sex,View Counts,Duration (seconds)
2009,E-Trade,https://www.youtube.com/watch?v=PlqWRADszb0,True,True,False,False,False,False,False,375600,34
2013,Pepsi,https://www.youtube.com/watch?v=WAySopBmbtI,True,False,False,False,False,False,True,1049,44
2004,Budweiser,https://www.youtube.com/watch?v=zM4rU4jit5k,True,False,False,True,False,True,True,104876,31
2009,Hynudai,https://www.youtube.com/watch?v=lzQ2NeqjYS0,False,True,False,False,False,False,False,7752,31
2014,Budweiser,https://www.youtube.com/watch?v=gUGGepL5gGU,False,False,True,False,False,True,False,81925,188
2003,Pepsi,https://www.youtube.com/watch?v=dnHEqQGl0yA,True,True,False,True,False,False,False,45060,47
2015,Coca-Cola,https://www.youtube.com/watch?v=1AeG8tCzTGw,False,False,False,False,False,False,False,62634,61
2003,NFL,https://www.youtube.com/watch?v=Bs0Iwwl-5Lk,False,False,False,True,False,False,False,18825,61
2012,Doritos,https://www.youtube.com/watch?v=6SWNLDdnz0A,True,True,False,False,False,False,False,186420302,31
2002,Pepsi,https://www.youtube.com/watch?v=TG4giyL-4Sk,False,True,False,True,False,False,True,534180,92
2002,Bud Light,https://www.youtube.com/watch?v=OfLLLnAngZI,True,True,False,True,True,False,True,5892,31
2000,Budweiser,https://www.youtube.com/watch?v=JJmqCKtJnxM,True,True,False,False,False,False,False,4341221,61
2001,Bud Light,https://www.youtube.com/watch?v=h-HHbtwX5vY,True,False,False,True,False,False,True,1080,31
2013,Hynudai,https://www.youtube.com/watch?v=mOatp4Xi7IU,False,True,False,False,False,False,False,1766,31
2015,Toyota,https://www.youtube.com/watch?v=9u4--TxE2gI,False,True,True,False,False,False,False,37260,75
2000,Budweiser,https://www.youtube.com/watch?v=GgXsLHifz9k,True,False,False,False,True,True,False,113213,61
2001,Doritos,https://www.youtube.com/watch?v=xbrvsJZSxok,True,True,False,True,False,False,True,4411,18
2016,Doritos,https://www.youtube.com/watch?v=MNRAdrB9TSs,True,True,False,False,False,True,False,1627731,31
2008,Bud Light,https://www.youtube.com/watch?v=-axbiEJiRGw,True,True,False,False,False,False,False,9387,32
2007,Doritos,https://www.youtube.com/watch?v=nIcFZzdXSrU,True,True,False,False,False,False,True,296403,31
2001,Pepsi,https://www.youtube.com/watch?v=6h7wifUL8mk,True,False,True,True,False,True,True,12777,46
2012,Budweiser,https://www.youtube.com/watch?v=_GeiOdHsW_8,False,True,True,False,False,True,True,224471,64
2001,Pepsi,https://www.youtube.com/watch?v=pldGc0Cpf84,True,False,False,True,True,False,False,1858,61
2001,E-Trade,https://www.youtube.com/watch?v=39BL7iqe6pQ,True,False,False,False,True,False,False,6685,31
2001,Budweiser,https://www.youtube.com/watch?v=H9YdunAo3Ug,False,False,False,True,False,False,False,78538,28
